tree,sentence,sentence_translated,t1,t2,section,positive,neutral,negative
(S (NP (DET les) (ADJ grandes) (NC personnes)) (VN (CLO m') (V ont) (VPP conseillé)) (VPinf (P de) (VN (VINF laisser)) (PP (P de) (NP (NC côté))) (NP (DET les) (NC dessins) (PP (P de) (NP (NC serpents) (AP (ADJ boas)) (AP (ADJ ouverts) (COORD (CC ou) (AP (ADJ fermés))))))) (COORD (CC et) (VPinf (P de) (VN (CLO m') (VINF intéresser)) (PP (MWP (ADV plutôt) (P à)) (NP (DET la) (NC géographie))) (PP (P à) (NP (DET l') (NC histoire))) (PP (P à) (NP (DET le) (NC calcul)) (COORD (CC et) (PP (P à) (NP (DET la) (NC grammaire))))))))),les grandes personnes m ont conseillé inf de laisser de côté les dessins de serpents boas ouverts ou fermés et inf de m intéresser plutôt à la géographie à l histoire à le calcul et à la grammaire,"adults advised me to leave aside the drawings of open or closed boa snakes and to focus instead on geography, history, arithmetic and grammar.",78.3,89.55,0.0,0.04670895263552666,0.7400734424591064,0.21321764588356018
(S (VN (CLS c') (V est)) (S (MWC (ADV ainsi) (C que)) (VN (CLS j') (V ai) (VPP abandonné)) (PP (P à) (NP (DET l') (NC âge) (PP (P de) (NP (DET six) (NC ans))))) (NP (DET une) (ADJ magnifique) (NC carrière) (PP (P de) (NP (NC peintre)))))),c est  ainsi que j ai abandonné à l âge de six ans une magnifique carrière de peintre,This is how I abandoned a magnificent career as a painter at the age of six.,90.65,96.07,0.0,0.011707036755979061,0.11413069069385529,0.8741622567176819
(S (VN (CLS j') (V avais) (VPP été)) (AP (VPP découragé) (PP (P par) (NP (DET l') (NC insuccès) (PP (P de) (NP (DET mon) (NC dessin) (MWN (N numéro) (ADJ 1))) (COORD (CC et) (PP (P de) (NP (DET mon) (NC dessin) (MWN (N numéro) (ADJ 2)))))))))),j avais été découragé par l insuccès de mon dessin numéro et de mon dessin numéro,I had been discouraged by the failure of my drawing number and my drawing number,96.89,100.46,0.0,0.013080212287604809,0.13991793990135193,0.847001850605011
(S (NP (DET les) (ADJ grandes) (NC personnes)) (VN (ADV ne) (V comprennent) (ADV jamais)) (NP (PRO rien)) (AP (ADV toutes) (ADJ seules)) (COORD (CC et) (Sint (VN (CLS c') (V est) (VPP fatigant)) (PP (P pour) (NP (DET les) (NC enfants) (PP (P de) (AdP (ADV toujours) (COORD (CC et) (ADV toujours)))))) (VPinf (VN (CLO leur) (VINF donner)) (NP (DET des) (NC explications)))))),les grandes personnes ne comprennent jamais rien toutes seules et int c est fatigant pour les enfants de d toujours et toujours inf leur donner des explications,grown-ups never understand anything on their own and it's tiring for children to always and always give them explanations,103.74,112.06,0.0,0.01283492986112833,0.1679150015115738,0.8192499876022339
(S (VN (CLS j') (V ai) (ADV donc) (VPP dû)) (VPinf (VN (VINF choisir)) (NP (DET un) (ADJ autre) (NC métier))) (COORD (CC et) (Sint (VN (CLS j') (V ai) (VPP appris)) (VPinf (P à) (VN (VINF piloter)) (NP (DET des) (NC avions)))))),j ai donc dû inf choisir un autre métier et int j ai appris inf à piloter des avions,so I had to choose another profession and I learned to fly planes,113.29,117.31,0.0,0.317343145608902,0.6629416942596436,0.019715119153261185
(S (VN (CLS j') (V ai) (VPP volé)) (AdP (MWADV (DET un) (ADV peu)) (ADV partout)) (PP (P dans) (NP (DET le) (NC monde))) (COORD (CC et) (Sint (NP (DET la) (NC géographie)) (Sint (VN (CLS c') (V est)) (AP (ADJ exact))) (VN (CLO m') (V a) (ADV beaucoup) (VPP servi))))),j ai volé d un peu partout dans le monde et int la géographie int c est exact m a beaucoup servi,I have flown from all over the world and int the geography int that's right has been very useful to me,118.4,123.72,0.0,0.8741755485534668,0.11774016916751862,0.008084239438176155
(S (VN (CLS je) (V savais)) (VPinf (VN (VINF reconnaître)) (PP (P de) (NP (DET le) (ADJ premier) (MWN (N coup) (P d') (N oeil)))) (NP (DET la) (NC chine) (PP (P de) (NP (DET l') (NC arizona)))))),je savais inf reconnaître de le premier coup d oeil la chine de l arizona,I knew how to recognize Arizona China at first glance,124.45,128.44,0.0,0.18796594440937042,0.764347493648529,0.047686584293842316
(S (VN (CLS c') (V est)) (AP (ADV très) (ADJ utile)) (S (CS si) (VN (MWCL (DET l') (CL on)) (CLR s') (V est) (VPP égaré)) (PP (P pendant) (NP (DET la) (NC nuit))))),c est très utile  si l on s est égaré pendant la nuit,It’s very useful if you get lost during the night,129.1,131.72,0.0,0.6490114331245422,0.3252362012863159,0.02575233206152916
(S (VN (CLS j') (V ai) (ADV ainsi) (VPP eu)) (PP (P à) (NP (DET le) (NC cours) (PP (P de) (NP (DET ma) (NC vie) (PP (P des) (NP (NC tas) (PP (P de) (NP (NC contacts) (PP (P avec) (NP (DET des) (NC tas) (PP (P de) (NP (NC gens) (AP (ADJ sérieux))))))))))))))),j ai ainsi eu à le cours de ma vie des tas de contacts avec des tas de gens sérieux,"Over the course of my life, I have had lots of contacts with lots of serious people.",132.96,137.95,0.0,0.3188113570213318,0.6162981986999512,0.06489040702581406
(S (VN (CLS j') (V ai) (ADV beaucoup) (VPP vécu)) (PP (P chez) (NP (DET les) (ADJ grandes) (NC personnes)))),j ai beaucoup vécu chez les grandes personnes,I have lived a lot with grown-ups,138.65,140.81,0.0,0.23266761004924774,0.6907362937927246,0.07659612596035004
(S (VN (CLS je) (CLO les) (V ai) (VPP vues)) (PP (P de) (AdP (ADV très) (ADV près)))),je les ai vues de d très près,I saw them up close,141.21,142.48,0.0,0.13079595565795898,0.8454461693763733,0.02375788800418377
(S (NP (PRO ça)) (VN (ADV n') (V a) (AdP (ADV pas) (ADV trop)) (VPP amélioré)) (NP (DET mon) (NC opinion))),ça n a d pas trop amélioré mon opinion,It didn't improve my opinion too much.,143.42,145.38,0.0,0.01508652325719595,0.2409401535987854,0.7439733147621155
(S (S (CS quand) (VN (CLS j') (CLO en) (V rencontrais)) (NP (PRO une) (Srel (NP (PROREL qui)) (VN (CLO me) (V paraissait)) (AP (MWADV (DET un) (ADV peu)) (ADJ lucide))))) (VN (CLS je) (V faisais)) (NP (DET l') (NC expérience) (PP (P sur) (NP (PRO elle) (PP (P de) (NP (DET mon) (NC dessin) (MWN (N numéro) (ADJ 1)) (Srel (NP (PROREL que)) (VN (CLS j') (V ai) (ADV toujours) (VPP conservé))))))))),quand j en rencontrais une rel qui me paraissait un peu lucide je faisais l expérience sur elle de mon dessin numéro rel que j ai toujours conservé,when I met a rel who seemed a little lucid to me I experimented on her with my rel number drawing which I have always kept,146.69,155.46,0.0,0.32865801453590393,0.6619899272918701,0.009352016262710094
(S (VN (CLS je) (V voulais)) (VPinf (VN (VINF savoir)) (S (CS si) (VN (CLS elle) (V était)) (ADV vraiment) (AP (ADJ compréhensive)))) (COORD (CC mais) (ADV toujours) (Sint (VN (CLS elle) (CLO me) (V répondait)))) (Sint (VN (CLS c') (V est)) (NP (DET un) (NC chapeau)))),je voulais inf savoir  si elle était vraiment compréhensive mais toujours int elle me répondait int c est un chapeau,I wanted to know  if she was really understanding but always int she answered me int it's a hat,156.31,163.18,0.0,0.04639409855008125,0.5242106318473816,0.42939522862434387
(S (ADV alors) (VN (CLS je) (ADV ne) (CLO lui) (V parlais)) (COORD (CC ni) (PP (P de) (NP (NC serpents) (AP (ADJ boas))))) (COORD (CC ni) (PP (P de) (NP (NC forêts) (AP (ADJ vierges))))) (COORD (CC ni) (PP (P d') (NP (NC étoiles))))),alors je ne lui parlais ni de serpents boas ni de forêts vierges ni d étoiles,so I didn't talk to him about boa snakes or virgin forests or stars,165.11,169.56,0.0,0.035601332783699036,0.6019660234451294,0.3624326288700104
(S (VN (CLS je) (CLO me) (V mettais)) (PP (P à) (NP (DET sa) (NC portée)))),je me mettais à sa portée,I put myself within his reach,170.38,171.68,0.0,0.45612460374832153,0.5295059680938721,0.014369468204677105
(S (VN (CLS je) (CLO lui) (V parlais)) (PP (P de) (NP (NC bridge) (PP (P de) (NP (NC golf) (PP (P de) (NP (NC politique)) (COORD (CC et) (PP (P de) (NP (NC cravates))))))))) (COORD (CC et) (Sint (NP (DET la) (ADJ grande) (NC personne)) (VN (V était)))) (Sint (VN (ADV bien) (V contente)) (VPinf (P de) (VN (VINF connaître)) (NP (DET un) (NC homme) (AP (ADV aussi) (ADJ raisonnable)))))),je lui parlais de bridge de golf de politique et de cravates et int la grande personne était int bien contente inf de connaître un homme aussi raisonnable,"I talked to him about bridge, golf, politics and ties and the grown-up was very happy to know such a reasonable man",172.35,181.43,0.0,0.924830436706543,0.06721611320972443,0.007953395135700703
(S (VN (CLS j') (V ai) (ADV ainsi) (VPP vécu)) (AP (ADJ seul)) (PP (MWADV (P sans) (N personne)) (P avec) (NP (PROREL qui))) (VPinf (VN (VINF parler)) (AP (ADV véritablement) (ADJ jusqu) (PP (P à) (NP (DET une) (NC panne)))) (PP (P dans) (NP (DET le) (NC désert) (PP (P de) (NP (DET le) (NC sahara)))))) (PP (MWP (CL il) (CL y) (V a)) (NP (DET six) (NC ans)))),j ai ainsi vécu seul sans personne avec qui inf parler véritablement jusqu à une panne dans le désert de le sahara il y a six ans,I lived alone with no one to really talk to until I had a breakdown in the Sahara desert six years ago.,184.63,186.68,0.0,0.00991967972368002,0.15034805238246918,0.83973228931427
(S (NP (MWPRO (DET quelque) (N chose))) (VN (CLR s') (V était) (VPP cassé)) (PP (P dans) (NP (DET mon) (NC moteur))) (COORD (CC et) (Sint(S (CS comme) (VN (CLS je) (ADV n') (V avais)) (PP (P avec) (NP (PRO moi) (COORD (CC ni) (NP (NC mécanicien)) (ADV ni))))) (NP (NC passagers)) (VN (CLS je) (CLO me) (V préparai)) (VPinf (P à) (VN (VINF essayer)) (VPinf (P de) (VN (VINF réussir)) (AP (ADV tout) (ADJ seul)))) (NP (DET une) (NC réparation) (AP (ADJ difficile)))))),quelque chose s était cassé dans mon moteur et int  comme je n avais avec moi ni mécanicien ni passagers je me préparai inf à essayer inf de réussir tout seul une réparation difficile,something had broken in my engine and as I had neither mechanic nor passengers with me I prepared myself to try to carry out a difficult repair on my own,194.39,206.36,0.0,0.011025023646652699,0.1780852973461151,0.810889720916748
(S (VN (CLS c') (V était)) (PP (P pour) (NP (PRO moi))) (NP (DET une) (NC question) (PP (P de) (NP (NC vie)) (COORD (CC ou) (PP (P de) (NP (NC mort))))))),c était pour moi une question de vie ou de mort,For me it was a question of life and death.,207.28,209.96,0.0,0.07599124312400818,0.6852759718894958,0.23873275518417358
(S (VN (CLS j') (V avais)) (MWADV (P à) (N peine)) (PP (P de) (NP (DET l') (NC eau))) (PP (P à) (NP (NC boire))) (PP (P pour) (NP (DET huit) (NC jours)))),j avais à peine de l eau à boire pour huit jours,I barely had water to drink for eight days,210.53,213.23,0.0,0.03593676537275314,0.24828526377677917,0.7157779932022095
(S (NP (DET le) (ADJ premier) (NC soir)) (VN (CLS je) (CLR me) (V suis) (ADV donc) (VPP endormi)) (PP (P sur) (NP (DET le) (NC sable))) (PP (P à) (NP (DET mille) (NC milles) (PP (P de) (NP (DET toute) (NC terre) (AP (ADJ habitée))))))),le premier soir je me suis donc endormi sur le sable à mille milles de toute terre habitée,the first evening I fell asleep on the sand a thousand miles from any inhabited land,214.34,219.85,0.0,0.0625421404838562,0.7496030330657959,0.1878548562526703
(S (VN (CLS j') (V étais)) (ADV bien) (AP (ADV plus) (ADJ isolé)) (S (CS qu') (NP (DET un) (NC naufragé) (PP (P sur) (NP (DET un) (NC radeau) (PP (P à) (NP (DET le) (NC milieu) (PP (P de) (NP (DET l') (NC océan)))))))))),j étais bien plus isolé  qu un naufragé sur un radeau à le milieu de l océan,I was much more isolated than a castaway on a raft in the middle of the ocean,220.59,224.61,0.0,0.019885824993252754,0.30658841133117676,0.6735257506370544
(S (ADV alors) (VPinf (VN (CLO vous))) (VN (VIMP imaginez)) (NP (DET ma) (NC surprise) (VPinf (P à) (VN (CLO le) (VINF lever)) (PP (P de) (NP (DET le) (NC jour))))) (S (CS quand) (NP (DET une) (NC drôle) (PP (P de) (NP (ADJ petite) (NC voix)))) (VN (CLO m') (V a) (VPP réveillé)))),alors inf vous imaginez ma surprise inf à le lever de le jour  quand une drôle de petite voix m a réveillé,so you can imagine my surprise at daybreak  when a funny little voice woke me up,225.98,232.35,0.0,0.7728889584541321,0.2128416746854782,0.014269375242292881
(S (VN (CLS elle) (V disait)) (S (CS s') (VN (CLS il) (CLO vous) (V plaît))) (Sint (VN (V dessine)) (NP (PRO moi)) (NP (DET un) (NC mouton)))),elle disait  s il vous plaît int dessine moi un mouton,she said  please int draw me a sheep,233.42,237.07,0.0,0.05644308775663376,0.7234839797019958,0.2200728952884674
(S (NP (NC hein))),hein,eh,238.42,238.42,0.0,0.2903240919113159,0.5803770422935486,0.12929895520210266
(S (VN (V dessine)) (NP (PRO moi)) (NP (DET un) (NC mouton))),dessine moi un mouton,draw me a sheep,240.05,240.93,0.0,0.11784417182207108,0.7317718267440796,0.15038399398326874
(S (VN (CLS j') (V ai) (VPP sauté)) (PP (P sur) (NP (DET mes) (NC pieds))) (S (MWC (ADV comme) (C si)) (VN (CLS j') (V avais) (VPP été) (VPP frappé)) (PP (P par) (NP (DET la) (NC foudre))))),j ai sauté sur mes pieds  comme si j avais été frappé par la foudre,I jumped to my feet  like I had been struck by lightning,242.11,245.62,0.0,0.2089911848306656,0.46423059701919556,0.32677820324897766
(S (VN (CLS j') (V ai)) (ADV bien) (VPpart (VPP frotté) (NP (DET mes) (NC yeux)))),j ai bien part frotté mes yeux,I rubbed my eyes,246.23,247.61,0.0,0.11066387593746185,0.697191596031189,0.19214443862438202
(S (VN (CLS j') (V ai)) (AP (ADV bien) (ADJ regardé)) (COORD (CC et) (Sint (VN (CLS j') (V ai) (VPP vu)) (NP (DET un) (ADJ petit) (NC bonhomme) (AP (MWADV (ADV tout) (P à) (N fait)) (ADJ extraordinaire)) (Srel (NP (PROREL qui)) (VN (CLR me) (V considérait) (ADV gravement))))))),j ai bien regardé et int j ai vu un petit bonhomme tout à fait extraordinaire rel qui me considérait gravement,I looked carefully and saw a very extraordinary little man who looked at me seriously.,248.06,255.73,0.0,0.8241167068481445,0.17061828076839447,0.005265084095299244
(S (PP (P voilà) (NP (DET le) (ADJ meilleur) (NC portrait))) (ADV que) (MWADV (ADV plus) (ADV tard)) (VN (CLS j') (V ai) (VPP réussi)) (VPinf (P à) (VN (VINF faire)) (PP (P de) (NP (PRO lui)))) (COORD (CC mais) (Sint (NP (DET mon) (NC dessin) (MWADV (ADV bien) (ADJ sûr))) (VN (V est) (MWADV (ADV beaucoup) (ADV moins)) (VPP ravissant)) (ADV que) (NP (DET le) (NC modèle))))),voilà le meilleur portrait que plus tard j ai réussi inf à faire de lui mais int mon dessin bien sûr est beaucoup moins ravissant que le modèle,here is the best portrait that I later managed to make of him but my drawing of course is much less charming than the model,257.01,265.44,0.0,0.5435547828674316,0.3240464925765991,0.13239875435829163
(S (VN (CLS ce) (ADV n') (V est)) (ADV pas) (NP (DET ma) (NC faute))),ce n est pas ma faute,it's not my fault,266.52,267.43,0.0,0.028828460723161697,0.32824575901031494,0.6429257392883301
(S (VN (CLS j') (V avais) (VPP été)) (AP (VPP découragé) (PP (P dans) (NP (DET ma) (NC carrière)))) (VPinf (P de) (VN (VINF peintre)) (PP (P par) (NP (DET les) (ADJ grandes) (NC personnes))) (PP (P à) (NP (DET l') (NC âge) (PP (P de) (NP (DET six) (NC ans)))))) (COORD (CC et) (VN (CLS je) (ADV n') (V avais) (PRO rien) (VPP appris)) (VPinf (P à) (VN (VINF dessiner)) (PP (P sauf) (NP (DET les) (NC boas) (AP (ADJ fermés)) (COORD (CC et) (NP (DET les) (NC boas) (AP (ADJ ouverts))))))))),j avais été découragé dans ma carrière inf de peintre par les grandes personnes à l âge de six ans et je n avais rien appris inf à dessiner sauf les boas fermés et les boas ouverts,I had been discouraged in my career as a painter by adults at the age of six and I had learned nothing to draw except closed boas and open boas,267.98,277.93,0.0,0.010534238070249557,0.13608497381210327,0.8533807992935181
(S (VN (CLS je) (V regardai)) (ADV donc) (NP (DET cette) (NC apparition)) (PP (P avec) (NP (DET des) (NC yeux) (ADV tout) (ADJ ronds) (PP (P d') (NP (NC étonnement)))))),je regardai donc cette apparition avec des yeux tout ronds d étonnement,I therefore looked at this apparition with eyes all round with astonishment,279.35,283.45,0.0,0.22664426267147064,0.6953202486038208,0.07803541421890259
(S (VN (ADV n') (V oubliez)) (ADV pas) (S (CS que) (VN (CLS je) (CLO me) (V trouvais)) (PP (P à) (NP (DET mille) (NC milles) (PP (P de) (NP (DET toute) (NC région) (AP (ADJ habitée)) (NP (NC or)))) (Srel (NP (DET mon) (ADJ petit) (NC bonhomme)) (VN (ADV ne) (CLR me) (V semblait) (ADV ni) (VPP égaré)) (COORD (CC ni) (NP (NC mort) (PP (P de) (NP (NC fatigue))))) (COORD (CC ni) (NP (NC mort) (PP (P de) (NP (NC faim))))) (COORD (CC ni) (NP (NC mort) (PP (P de) (NP (NC soif))))) (COORD (CC ni) (NP (NC mort) (PP (P de) (NP (NC peur)))))))))),n oubliez pas  que je me trouvais à mille milles de toute région habitée or rel mon petit bonhomme ne me semblait ni égaré ni mort de fatigue ni mort de faim ni mort de soif ni mort de peur,"don't forget that I found myself a thousand miles from any inhabited region, but my little man seemed neither lost nor dead of fatigue nor dead of hunger nor dead of thirst nor dead of fear",284.29,296.97,0.0,0.13209953904151917,0.6975334882736206,0.1703670471906662
(S (VN (CLS il) (ADV n') (V avait)) (PP (P en) (PRO rien)) (NP (DET l') (NC apparence) (PP (P d') (NP (DET un) (NC enfant) (VPpart (VPP perdu) (PP (P à) (NP (DET le) (NC milieu) (PP (P de) (NP (DET le) (NC désert))))) (PP (P à) (NP (DET mille) (NC milles) (PP (P de) (NP (DET toute) (NC région) (AP (ADJ habitée))))))))))),il n avait en rien l apparence d un enfant part perdu à le milieu de le désert à mille milles de toute région habitée,"he had nothing in common with the appearance of a child lost in the middle of the desert, a thousand miles from any inhabited region.",297.98,304.05,0.0,0.012972394935786724,0.4047967791557312,0.582230806350708
(S (S (CS quand) (VN (CLS je) (V réussis)) (ADV enfin) (VPinf (P à) (VN (VINF parler)))) (VN (CLS je) (CLO lui) (V dis)) (COORD (CC mais) (Sint (NP (PROWH qu')) (VN (V est)) (NP (PRO ce) (Srel (NP (PROREL que)) (VN (CLS tu) (V fais)) (ADV là)))))), quand je réussis enfin inf à parler je lui dis mais int qu est ce rel que tu fais là, when I finally manage inf to speak I tell him but int what is this rel that you are doing there,305.1,310.5,0.0,0.054396823048591614,0.7096774578094482,0.23592573404312134
(S (COORD (CC et) (VN (CLS il) (CLO me) (V répéta)) (ADV alors) (AP (ADV tout) (ADJ doucement)) (S (CS comme) (NP (DET une) (NC chose) (AP (ADV très) (ADJ sérieuse) (S (CS s') (VN (CLS il) (CLO vous) (V plaît))))) (VN (V dessine)) (NP (PRO moi)) (PP (NP (DET un) (NC mouton)))))),et il me répéta alors tout doucement  comme une chose très sérieuse  s il vous plaît dessine moi un mouton,and he then said to me very gently  like a very serious thing  please draw me a sheep,311.81,319.82,0.0,0.18747180700302124,0.7567465305328369,0.05578164383769035
(S (S (CS quand) (NP (DET le) (NC mystère)) (VN (V est)) (AP (ADV trop) (ADJ impressionnant))) (VN (CLS on) (ADV n') (V ose)) (ADV pas) (AP (ADJ désobéir))), quand le mystère est trop impressionnant on n ose pas désobéir, when the mystery is too impressive we don't dare to disobey,321.57,324.69,0.0,0.6570192575454712,0.3097248077392578,0.03325595334172249
(S (AP (ADV aussi) (ADJ absurde) (S (CS que) (NP (PRO cela)))) (VN (CLO me) (V semblât)) (PP (P à) (NP (DET mille) (NC milles) (PP (P de) (NP (ADJ tous) (DET les) (NC endroits) (VPpart (VPP habités)))))) (S (MWADV (C et) (P en) (N danger)) (PP (P de) (NP (NC mort))) (VN (CLS je)) (VPinf (VN (VPP sortis)) (PP (P de) (NP (DET ma) (NC poche)))) (NP (DET une) (NC feuille)) (PP (P de) (NP (NC papier) (COORD (CC et) (NP (DET un))))) (VN (V stylographe)))),aussi absurde  que cela me semblât à mille milles de tous les endroits part habités  et en danger de mort je inf sortis de ma poche une feuille de papier et un stylographe,as absurd as it seemed to me a thousand miles from all inhabited places  and in danger of death I took out of my pocket a sheet of paper and a pen,326.28,336.93,0.0,0.02162305824458599,0.28196290135383606,0.696414053440094
(S (COORD (CC mais) (VN (CLS je) (CLO me) (V rappelai)) (S (MWC (ADV alors) (C que)) (VN (CLS j') (V avais)) (ADV surtout) (Sint (VN (VPP étudié)) (NP (DET la) (NC géographie)) (NP (DET l') (NC histoire)) (PP (NP (DET le) (NC calcul) (COORD (CC et) (NP (DET la) (NC grammaire))))) (COORD (CC et) (VN (CLS je) (V dis)) (PP (P à) (NP (DET le) (ADJ petit) (NC bonhomme) (PP (P avec) (NP (MWADV (DET un) (ADV peu)) (P de) (ADJ mauvaise) (NC humeur))))) (S (CS que) (VN (CLS je) (ADV ne) (V savais)) (ADV pas) (VPinf (VN (VINF dessiner))))))))),mais je me rappelai  alors que j avais surtout int étudié la géographie l histoire le calcul et la grammaire et je dis à le petit bonhomme avec un peu de mauvaise humeur  que je ne savais pas inf dessiner,"but I remembered  then that I had mainly studied geography, history, arithmetic and grammar and I told the little man with a bit of bad humor  that I didn't know how to draw",338.08,349.54,0.0,0.03855239972472191,0.3991384208202362,0.5623091459274292
(S (VN (CLS il) (CLO me) (V répondit)) (NP (PRO ça)) (Sint (VN (ADV ne) (V fait)) (NP (PRO rien)))),il me répondit ça int ne fait rien,he answered me that int does nothing,350.7,352.58,0.0,0.049888383597135544,0.7298364639282227,0.22027519345283508
(S (VN (V dessine)) (NP (PRO moi)) (NP (DET un) (NC mouton))),dessine moi un mouton,draw me a sheep,353.5,354.17,0.0,0.11784417182207108,0.7317718267440796,0.15038399398326874
